nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
MARCADOR DE CONCHA 13.5CM,MARCADOR DE CONCHA 13.5CM,47.0,Herramientas,Marcadores,4-2888,7501553428882,52151905,True,False,False
MARCADOR PASTA ENREJADO GD,MARCADOR PASTA ENREJADO GD,119.0,Herramientas,Marcadores,4-2898,7501553428981,52151601,True,False,False
MARCADOR PLAST REBANADAS 10/12,MARCADOR PLAST REBANADAS 10/12,180.0,Herramientas,Marcadores,TOL000981,4895217109976,52151600,True,False,False
RASPA 10X13.5CM,RASPA 10X13.5CM,22.0,Herramientas,Raspa,4-2902,7501553429025,48101817,True,False,False
RASPA 11X15.5cm,RASPA 11X15.5cm,40.0,Herramientas,Raspa,4-2903,7501553429032,48101817,True,False,False
RASPA 13X19cm,RASPA 13X19cm,45.0,Herramientas,Raspa,4-2904,7501553429049,48101817,True,False,False
JGO RASPA Y PEINE 2 PZ,JGO RASPA Y PEINE 2 PZ,35.0,Herramientas,Raspa,TOL00000086,4897080491196,48101817,True,False,False
RASPA ESQUINAS RECORTADAS 13.5X9.5 CM,RASPA ESQUINAS RECORTADAS 13.5X9.5 CM,30.0,Herramientas,Raspa,4-2413,7501553424136,48101817,True,False,False
RASPA PLASTICO 15CM,RASPA PLASTICO 15CM,25.0,Herramientas,Raspa,80-302,7501553803023,48101817,True,False,False
RASPA TRAPECIO 19-13CM,RASPA TRAPECIO 19-13CM,45.0,Herramientas,Raspa,4-2253,7501553422538,48101817,True,False,False
PEINE DECOR PLAST CHERRY,PEINE DECOR PLAST CHERRY,135.0,Herramientas,Peine,16017,16017,48101817,True,False,False
JGO RASPA PEINE 4PZ,JGO RASPA PEINE 4PZ,50.0,Herramientas,Raspa,666661680383,666661680383,48101817,True,False,False
PEINE DECORA AINOX LISO/BLOQUE 7x22cm,PEINE DECORA AINOX LISO/BLOQUE 7x22cm,118.0,Herramientas,Peine,TOL001062,4895217121008,48101817,True,False,False
PEINE DECORA AINOX PUNTAS 7x22cm,PEINE DECORA AINOX PUNTAS 7x22cm,118.0,Herramientas,Peine,TOL000699,4895217120735,48101817,True,False,False
PEINE DECORA AINOX HERRADURA 5x25cm,PEINE DECORA AINOX HERRADURA 5x25cm,118.0,Herramientas,Peine,TOL000700,4895217120742,48101817,True,False,False
PEINE TRIANGULAR 10X11CM,PEINE TRIANGULAR 10X11CM,22.0,Herramientas,Peine,4-2909,7501553429094,48101817,True,False,False
JGO RASPA PEINE PLAST 8x13cm,JGO RASPA PEINE PLAST 8x13cm,45.0,Herramientas,Raspa,TOL000930,4895217107620,48101817,True,False,False
"PEINE DECORATIVO PLAST ""ZIG-ZAG"" 25.5 cm","PEINE DECORATIVO PLAST ""ZIG-ZAG"" 25.5 cm",50.0,Herramientas,Peine,TOL001037,4895217112242,48101817,True,False,False
PEINE DECORATIVO PLAST 25.5x8 cm,PEINE DECORATIVO PLAST 25.5x8 cm,46.0,Herramientas,Peine,TOL001034,TOL001034,48101817,True,False,False
PEINE DECORATIVO PLAST GRECA 25.5x8 cm,PEINE DECORATIVO PLAST GRECA 25.5x8 cm,46.0,Herramientas,Peine,TOL001035,TOL001035,48101817,True,False,False
PEINE DECORATIVO MEDIO CIRCULO 25.5x8 cm,PEINE DECORATIVO MEDIO CIRCULO 25.5x8 cm,46.0,Herramientas,Peine,TOL001036,TOL001036,48101817,True,False,False
CAPACILLO JUMBO BLANCO 500PZ,CAPACILLO JUMBO BLANCO 500PZ,260.0,Capacillos,Papel,4-0900,7501553409003,52151907,True,False,False
CAPACILLO JUMBO BLANCO 90pz,CAPACILLO JUMBO BLANCO 90pz,60.0,Capacillos,Papel,4-0901,7501553409002,52151907,True,False,False
CAPACILLOS MINI CAFE 100pz,CAPACILLOS MINI CAFE 100pz,35.0,Capacillos,Papel,415-1867,70896318671,52151504,True,False,False
CAPACILLO MINI VARIOS MOD 50pz,CAPACILLO MINI VARIOS MOD 50pz,35.0,Capacillos,Papel,BCP000343,4895217155157,52151504,True,False,False
CAPACILLO CHICO VARIOS MODELOS 50pz,CAPACILLO CHICO VARIOS MODELOS 50pz,35.0,Capacillos,Papel,BCP000300,4895217128946,52151504,True,False,False
