clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
415-2370 ,070896223708,CAPACILLO STD FESTEJO NAVIDAD PAPEL C/100pz,Capacillos,Papel,SI,Pieza,,, $199.00 ,,,,,,52151900
415-2686 ,070896226860,CAPACILLO STD CINTA CARAMELO COLOR CUPS C/36pz,Capacillos,Papel,SI,Pieza,,, $100.00 ,,,,,,52151900
415-3159 ,070896831590,CAPACILLO STD CITRUS RAYAS COLOR CUPS C/36pz,Capacillos,Papel,SI,Pieza,,, $100.00 ,,,,,,52151900
4-2309,7501553423092,CAPACILLO STD BLANCO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2321,7501553423214,CAPACILLO STD CORAZONES  100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2723,7501553427236,CAPACILLO MED PLATA 50pz,Capacillos,Papel,SI,Pieza,,, $62.00 ,,,,,,52151907
4-2327,7501553423276,CAPACILLO STD BALON SOCCER 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2322,7501553427021,CAPACILLO STD FLORES PASTEL 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2326,7501553423269,CAPACILLO STD COLORES ARCOIRIS 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-0618,7501553406187,CAPACILLO STD VRDE/AZUL C 250pz,Capacillos,Papel,SI,Pieza,,, $73.00 ,,,,,,52151907
4-1019,7501553410191,CAPACILLO STD CAFE/PUNTOS ROJO MD 100pz,Capacillos,Papel,SI,Pieza,,, $40.00 ,,,,,,52151907
4-1042,7501553410429,CAPACILLO STD PUNTOS SUPER ROJO GD 100pz,Capacillos,Papel,SI,Pieza,,, $40.00 ,,,,,,52151907
4-1009,7501553410092,CAPACILLO STD PUNTOS VDE CLARO GD 100pz,Capacillos,Papel,SI,Pieza,,, $40.00 ,,,,,,52151907
4-2702,7501553423221,CAPACILLO STD POLKA DOT ROJO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2703,7501553427038,CAPACILLO STD POLKA DOT VERDE 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-0903,7501553409034,CAPACILLO JUMBO ROJO 500pz,Capacillos,Papel,SI,Paquete,,, $260.00 ,,,,,,52151907
4-1122,7501553411228,CAPACILLO JUMBO NARANJA 500pz,Capacillos,Papel,SI,Paquete,,, $260.00 ,,,,,,52151907
4-1061,7501553410610,CAPACILLO JUMBO VERDE 500pz,Capacillos,Papel,SI,Paquete,,, $260.00 ,,,,,,52151907
4-1120,7501553411204,CAPACILLO JUMBO MORADO 500pz,Capacillos,Papel,SI,Paquete,,, $260.00 ,,,,,,52151907
70896174062,70896174062,MINI CAPACILLOS LOVE C/50pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
70896116345,708961163345,MINI CAPACILLOS CORAZON C/50pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
70896174055,70896174055,CAPACILLO STD CORAZONES CON 24pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
70896344434,70896344434,CAPACILLO STD SAN VALENTIN XOXO C/75pz,Capacillos,Papel,SI,Pieza,,, $75.00 ,,,,,,52151900
